Mass, Volume
802.78,98.17477042468104
39.64,0.26808257310632905
3500.0,215.68997062302424
328.0,4.1547562843725006
2710.0,281.1026420597441
1800.0,591.8532793895785
30.0,2.650718801466388
10.0,0.11309733552923257
0.005,1.2250000000000003e-06
2370.0,34.986739285784424
367.69,3.0978554006665164
120.0,0.4021238596594936
4300.0,2941.7397476286224
100.0,0.8835729338221293
891.97,28.22485379801409
4300.0,2941.7397476286224
1600.0,34.986739285784424
2120.91,193.59427220057867
343.9,28.22485379801409
39.64,0.26808257310632905
1982.16,236.21870781790673
792.86,50.26548245743669
2378.59,236.21870781790673
5.0,0.004188790204786391
2378.59,236.21870781790673
0.25,0.00012500000000000003
72.0,0.1413716694115407
1920.0,2155.132560362598
1.4,0.0010000000000000002
792.86,50.26548245743669
4147.67,55.59399666205261
222.99,3.216990877275949
55.5,1.045364955482004
2350.0,236.21870781790673
4185.0,215.68997062302424
693.76,196.38645456304172
45.0,2.650718801466388
693.76,372.7122692365858
5.0,0.004188790204786391
39.64,0.26808257310632905
104.0,0.8
2378.59,236.21870781790673
2378.59,236.21870781790673
1600.0,34.986739285784424
1982.16,293.1482936917708
2350.0,236.21870781790673
1490.0,33.67394625566559
55.5,1.045364955482004
743.31,21.205750411731103
743.31,50.26548245743669
3000.0,652.3391481473062
2378.59,236.21870781790673
4300.0,2941.7397476286224
1764.12,1056.810456103044
4000.0,330.456866298099
4000.0,553.6813578521358
0.5,0.00025000000000000006
33.0,2.650718801466388
3000.0,652.3391481473062
39.64,0.26808257310632905
4.0,0.003
222.99,3.216990877275949
2350.0,236.21870781790673
8015.0,225.79883038411273
891.97,28.22485379801409
5.0,0.004188790204786391
4000.0,553.6813578521358
1883.05,387.23192508331454
2000.0,499.5572142179273
1434.0,58.18857912979015
1.0,0.0070685834705770355
5.0,0.004188790204786391
0.005,1.2250000000000003e-06
2378.59,236.21870781790673
104.0,0.8
47.0,2.650718801466388
1727.0,94.223468053652
800.0,50.26548245743669
20.0,0.125
3221.01,570.648863369327
2440.0,196.38645456304172
200.0,0.06544984694978735
328.0,4.1547562843725006
0.016,0.0004928069788029141
5.0,0.004188790204786391
1434.0,58.18857912979015
1982.16,327.3796550881573
2378.59,236.21870781790673
5.0,0.004188790204786391
630.0,2.5446900494077327
200.0,0.06544984694978735
5.0,0.004188790204786391
1427.16,43.09636802194478
156.0,0.5497787143782138
840.0,402.1238596594935
4300.0,2941.7397476286224
2378.59,236.21870781790673
693.76,21.205750411731103
1427.16,43.09636802194478
792.86,50.26548245743669
56.0,1.045364955482004
1146.0,225.79883038411273
55.5,1.045364955482004
840.0,402.1238596594935
1387.51,15.458992050151979
328.0,4.1547562843725006
600.0,86.8587536864506
