Shape, Mass, Dimensions
Cyl,1390.0,3.0,3.0
Cyl,2043.0,3.2,2.3
Box,110.0,1.2,0.5,0.5
Box,110.0,1.2,0.5,0.5
Box,110.0,1.2,0.5,0.5
Box,110.0,1.2,0.5,0.5
Box,110.0,1.2,0.5,0.5
Box,1.0,0.1,0.1,0.1
Box,1.0,0.1,0.1,0.1
Box,5.0,0.2,0.1,0.1
Box,8.0,0.24,0.24,0.24
Box,8.0,0.24,0.24,0.24
Box,8.0,0.24,0.24,0.24
Box,8.0,0.24,0.24,0.24
Box,90.0,0.3,0.3,0.3
Box,10.0,0.3,0.1,0.1
Box,69.0,0.5,0.4,0.4
Box,95.0,0.5,0.5,0.5
Box,100.0,0.7,0.6,0.6
Box,100.0,0.7,0.6,0.6
Cyl,1390.0,3.0,3.0
Box,1.6,0.1,0.1,0.1
Box,1.4,0.1,0.1,0.1
Box,110.0,1.2,0.5,0.5
Box,110.0,0.5,0.5,0.5
Box,155.0,1.0,1.0,1.0
Box,55.0,1.0,0.5,0.5
