satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
GLOBALSTAR M069,07020C,4.2415427983583004e-06,0.0309462732311277,0.001068342614504
GLOBALSTAR M072,07020D,3.382379720039773e-05,0.0034450188265384,0.0012113403957207
COSMO-SKYMED 1,07023A,0.0028024403646643,0.6083865102605608,0.000110871104547
TERRASAR-X,07026A,0.0003914852363175,0.0481808497467623,0.0001975156818836
COSMOS 2428,07029A,0.0019032611167914,0.0017350920791513,0.0103597731392671
SAR-LUPE 2,07030A,0.0044821953958071,180.2793887962704,0.000841448410286
WORLDVIEW-1 (WV-1),07041A,0.0047395617680738,2.8259570868037267,0.0002068291517437
INTELSAT 11 (IS-11),07044B,0.3183982686192462,0.1431286889079062,0.0054001781768767
WGS F1 (USA 195),07046A,0.3190885821973198,22.6899094695223,1.255200732568449
NAVSTAR 60 (USA 196),07047A,0.0034135401963625,0.1061681842116625,0.000342648798285
GLOBALSTAR M066,07048C,9.588733560595002e-05,0.0036660544688716,0.0019393152241628
COSMOS 2433 [GLONASS-M],07052A,0.0364081506721658,0.0875420602181516,0.0342900310783089
COSMOS 2432 [GLONASS-M],07052B,3.412070440231772e-05,0.0793578354181929,0.0087127202542369
YAOGAN-3,07055A,0.0053258191132511,5.353236036997108,0.0002450276212093
SKYNET 5B,07056B,0.0943302013408653,0.0759909122692703,0.0027099202650436
ASTRA 4A,07057A,0.0098577267170553,0.5951752020610765,0.0035244214087201
COSMO-SKYMED 2,07059A,0.0042510100694308,0.0348014902085765,0.0001025358537447
RADARSAT-2,07061A,0.0023508697469051,0.2243329406711527,0.0025632349069467
NAVSTAR 61 (USA 199),07062A,0.0056194615742929,0.010888234389388,0.0002258692404488
HORIZONS-2,07063B,0.0966418360446275,0.7152204435505163,0.0015360044894102
COSMOS 2434 [GLONASS-M],07065A,0.0012003131810188,0.2641225842196419,0.0085266615127048
COSMOS 2436 [GLONASS-M],07065C,0.0349208533791029,0.0600416797227462,0.0059000695992954
THURAYA-3,08001A,0.0985153767842051,0.1108915129261503,0.0068305402704456
THOR 5,08006A,0.2024424222412383,95.81961258513476,0.0927364260798767
AMC-14,08011A,0.1037120111507584,5.987870090299541,0.0010378917314987
NAVSTAR 62 (USA 201),08012A,0.0017225126532288,0.0019538814151804,4.971729078022668e-05
DIRECTV 11,08013A,0.1400118587544871,157.03851832627095,1.2040469918517671
ICO G1,08016A,0.0045322907270643,0.1225940820475529,0.0083543892455774
VINASAT-1,08018A,1.3314821793920388,31.663871950532275,15.71843212674305
STAR ONE C2,08018B,0.1627360864950323,5.307687199819586,0.0037255667027902
CARTOSAT-2A,08021A,0.0069840925277835,0.932746594399166,0.000200701035606
CUTE-1.7+APD II (CO-65),08021C,0.0091160361465575,1.639888146206403,0.0012873412656128
