satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
MAROC-TUBSAT,01056D,0.0001187055582874,0.0026265860920811,0.0002226125203084,0,0,0
COSMOS 2385,01058B,0.0010247072995476,0.0304900565499238,0.0008011037721009,0,0,0
COSMOS 2386,01058C,0.0018868926832261,0.0032596247893404,0.0002394799763977,0,0,0
USA 164 (MILSTAR-2 3),02001A,0.012219479341433751,5.717077111225079,1.4304931784300702e-05,1,0,0
INTELSAT 904 (IS-904),02007A,0.012219479341433751,0.9327719260132352,0.0006960325566824,1,0,0
AQUA,02022A,0.000580490401053,0.0767931201422347,3.344725950025968e-05,0,0,0
DIRECTV 5 (TEMPO 1),02023A,0.012219479341433751,0.0713128784059657,0.0010205709710493,1,0,0
INTELSAT 905 (IS-905),02027A,0.012219479341433751,0.2299406051694782,0.0002725936075661,1,0,0
GALAXY 3C (G-3C),02030A,0.0091787052569282,3.451084400553022,0.0046419902082293,0,0,0
COSMOS 2390,02036A,0.0012598514580885,0.0034738995881852,0.0011760684210155,0,0,0
COSMOS 2391,02036B,0.0014434426525205,0.0035908956610466,0.0015856174611828,0,0,0
INTELSAT 906 (IS-906),02041A,0.012219479341433751,0.011370999600294,0.0009390954523135,1,0,0
LATINSAT B,02058B,0.0096854968398789,0.0676292669713372,0.0231620870913263,0,0,0
SAUDISAT 1C (SO-50),02058C,0.0045919218604469,0.0425793893250513,0.0115055703149163,0,0,0
LATINSAT A,02058H,0.0101875976546757,0.0450206526949802,0.0161105358060412,0,0,0
NIMIQ 2,02062A,0.012219479341433751,2.2261630497707503,0.0338913523203389,1,0,0
CORIOLIS,03001A,0.0014215513403668,0.0020246563209959,0.0031420252509831,0,0,0
SORCE,03004A,0.0168116274472311,0.0100514265911191,0.0134364507761066,0,0,0
NAVSTAR 51 (USA 166),03005A,0.0005112745492912,0.0039938198481423,0.0032119479247349,0,0,0
USA 167,03008A,0.012219479341433751,1.382375055207004,0.0001320199881767,1,0,0
NAVSTAR 52 (USA 168),03010A,0.006422787290187,0.0122347650077681,0.0003714194489817,0,0,0
USA 169 (MILSTAR-2 4),03012A,0.0526339571717053,1.7781797532368488,8.066310915370202e-05,0,0,0
ASIASAT 4,03014A,0.0179397434164679,0.0605730877931945,0.0003675550745478,0,0,0
HELLAS-SAT 2,03020A,0.012219479341433751,1.95549443107974,0.0008899440237967,1,0,0
THURAYA-2,03026A,0.012219479341433751,96.96432486454395,0.0303987569867197,1,0,0
OPTUS C1,03028B,0.012219479341433751,0.0401928739298879,0.0014242321566478,1,0,0
MOST,03031D,0.0016595821247457,0.0001153434788266,0.0022605889552807,0,0,0
CUTE-1 (CO-55),03031E,0.0019771392967198,0.0008370128693389,0.0026331241801177,0,0,0
CUBESAT XI-IV (CO-57),03031J,0.0035479769771852,0.0009249782436302,0.003374301391091,0,0,0
SCISAT 1,03036A,0.0014831674484472,0.0521982129599154,0.0090557536955528,0,0,0
COSMOS 2400,03037A,0.0018456331606056,0.0100945381450956,0.0007801798860932,0,0,0
COSMOS 2401,03037B,0.0017371728172516,0.0419515831760363,0.000988459777772,0,0,0
USA 170,03040A,0.012219479341433751,0.0342829284058546,0.0005177736918547,1,0,0
MOZHAETS 4 (RS22),03042A,0.0004426669812587,1.292531010741052,0.0004532432904407,0,0,0
LARETS,03042F,0.0028954144577646,0.0001304860422464,0.0003469540287485,0,0,0
GALAXY 13 (HORIZONS-1),03044A,0.012219479341433751,0.0022566855660074,0.0146189512794967,1,0,0
DMSP 5D-3 F16 (USA 172),03048A,0.0010953498142016,0.019361666131418,0.0020566798201327,0,0,0
CHUANGXIN 1 (CX-1),03049B,0.0026638705831578,0.0132041170199052,0.0001523533263672,0,0,0
YAMAL 202,03053A,0.0359732318619617,0.1564848610671397,0.001640952163139,0,0,0
UFO 11 (USA 174),03057A,0.0011477430807702,0.0079422164326948,0.0003375541027945,0,0,0
NAVSTAR 53 (USA 175),03058A,0.0002314482404669,0.0086575598218898,9.44617202406064e-05,0,0,0
USA 176 (DSP 22),04004A,0.0107698492429806,1.0603682560229395,3.9995340745540357e-10,0,0,0
ABS-4 (MOBISAT-1),04007A,0.012219479341433751,0.0411638931775779,0.0009955479418247,1,0,0
NAVSTAR 54 (USA 177),04009A,0.0134003312248766,0.0336640190204053,0.000679264145507,0,0,0
SHIYAN-1 (SY-1),04012A,0.0033098349330758,3.802001864007993,0.0003903396898359,0,0,0
AMC-11,04017A,0.012219479341433751,0.7797922991401287,0.0686755170401872,1,0,0
INTELSAT 10-02,04022A,0.012219479341433751,53.49496737957171,0.01901756128441395,1,0,1
NAVSTAR 55 (USA 178),04023A,0.012219479341433751,0.649578475693057,0.0009330695423603,1,0,0
APRIZESAT 2,04025A,0.0020331798799818,2.962979331144215e-05,8.847528123921305e-05,0,0,0
SAUDICOMSAT 1,04025D,0.0043908895365051,0.003880843875789,0.0031212532265043,0,0,0
SAUDICOMSAT 2,04025E,0.0033312663919757,0.0204872493235892,0.0026893861270313,0,0,0
SAUDISAT 2,04025F,0.0022217898277733,0.0093907833183247,0.0020668653380589,0,0,0
APRIZESAT 1,04025G,0.0024063416488691,0.0025515805490069,0.0022365434356103,0,0,0
AURA,04026A,0.0036939432963095,0.159339373909745,0.0009433716402571,0,0,0
ANIK F2,04027A,0.0010854571046394,1.8989341061481044,0.0038120269070934,0,0,0
COSMOS 2407,04028A,0.0010578664576168,0.0006820170202289,1.713357705476022e-05,0,0,0
SHIJIAN-6 01A (SJ-6 01A),04035A,0.011167045243339,2.9918208261720345,0.0005436611160375,0,0,0
SHIJIAN-6 01B (SJ-6 01B),04035B,0.0066480669042969,5.240148688515026,0.0022764316970292,0,0,0
COSMOS 2408,04037A,0.0008913506694735,0.0048939522830748,0.0009000775626901,0,0,0
COSMOS 2409,04037B,0.0017738284186048,0.057430886789316,0.0006043457649985,0,0,0
AMC-15,04041A,0.0027717678207867,16.685890587205122,0.01901756128441395,0,0,1
JB-3 3 (ZY 2C),04044A,0.0068165901257291,0.6216007153222356,0.0001729773734805,0,0,0
NAVSTAR 56 (USA 180),04045A,0.0015637998768274,0.0146020724763679,0.000499582761155,0,0,0
SWIFT,04047A,0.0116034833459485,29.50559260815139,0.01901756128441395,0,0,1
NANOSAT-1,04049B,0.0048995752561546,0.1398721818167564,0.0008873711982947,0,0,0
COSMOS 2414,05002A,0.0029647015463416,7.902659894074306e-05,9.49991675550576e-05,0,0,0
NSS-10,05003A,0.012219479341433751,3.432860574724596,0.0004215748383978,1,0,0
INMARSAT 4-F1,05009A,0.012219479341433751,18.88198604616919,0.0036290101804271,1,0,0
IRS-P5 (CARTOSAT-1),05017A,0.0059768794274789,0.1755471796646582,0.0011120750812793,0,0,0
DIRECTV 8,05019A,0.012219479341433751,10.994913035024055,0.01901756128441395,1,0,1
GALAXY 28 (G-28),05022A,0.012219479341433751,110.97279862409722,0.0011384054740401,1,0,0
SJ-7,05024A,0.0062929642315343,3.0070685455646755,0.0009901796702634,0,0,0
THAICOM 4,05028A,0.012219479341433751,1.3683723486876185,0.0417563585813202,1,0,0
REIMEI (INDEX),05031B,0.0051140552647768,2.326230125450731,0.000528591309494,0,0,0
ANIK F1R,05036A,0.012219479341433751,0.0260869729743334,0.0011389015542005,1,0,0
NAVSTAR 57 (USA 183),05038A,0.0001626032663273,0.0109513379804417,0.0019056518713331,0,0,0
SYRACUSE 3A,05041B,0.012219479341433751,0.0480826875112495,0.0019226251321315,1,0,0
BEIJING 1,05043A,0.0036543097058182,0.3485265163622886,0.0021017535095607,0,0,0
SINAH 1,05043D,0.0034160220455319,0.0043250727625273,0.0008610192745096,0,0,0
CUBESAT XI-V,05043F,0.0015408445342712,0.1328665291282658,0.0002242559731924,0,0,0
INMARSAT 4-F2,05044A,0.012219479341433751,104.84446299067378,0.0209538771014562,1,0,0
COSMOS 2416 (RODNIK-S 1),05048A,0.0012520116669663,0.0001060857448406,0.0039978157349284,0,0,0
METEOSAT-9 (MSG-2),05049B,0.012219479341433751,0.57110227372114,0.0007554045724074,1,0,0
EUTELSAT 174A,05052A,0.012219479341433751,0.4432769695150131,0.0080434977018521,1,0,0
ECHOSTAR 10,06003A,0.012219479341433751,0.1115578554147044,0.01901756128441395,1,0,1
SPAINSAT,06007A,0.012219479341433751,1.5513763506181475,0.0048564261589363,1,0,0
JCSAT-5A,06010A,0.012219479341433751,1.5142591750485548,0.0037973716913655,1,0,0
ASTRA 1KR,06012A,0.012219479341433751,51.39798428687759,0.0004221123499878,1,0,0
RESURS-DK 1,06021A,0.0053918945529426,1.0859124604110897,0.0239592927744452,0,0,0
GALAXY 16 (G-16),06023A,0.0012825792247265,2.218225610743913,0.01901756128441395,0,0,1
ARIRANG-2 (KOMPSAT-2),06031A,0.0001308247410314,0.2352452599605221,0.0008307445533701,0,0,0
EUTELSAT 33F,06032A,0.012219479341433751,25.51350909356357,0.0091144349140897,1,1,0
JCSAT-3A,06033A,0.012219479341433751,7.778409545023019,0.01901756128441395,1,0,1
SYRACUSE 3B,06033B,0.012219479341433751,0.0243818730092306,0.0090253219103954,1,0,0
KOREASAT 5 (MUGUNGWHA 5),06034A,0.0196461027991462,0.5113696351193769,0.0098328237255533,0,0,0
HINODE (SOLAR-B),06041A,0.0031826815409272,0.0339324554204044,0.0013084578821389,0,0,0
