satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
STARLINK-36909,26037Q,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36920,26037R,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36873,26037S,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36863,26037T,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36887,26037U,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36897,26037V,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36381,26037W,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36824,26037X,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36869,26037Y,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36872,26037Z,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36912,26038A,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36802,26038AA,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36881,26038B,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36357,26038C,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36349,26038D,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36806,26038E,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36820,26038F,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36819,26038G,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36812,26038H,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36709,26038J,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36319,26038K,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36710,26038L,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36894,26038M,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36900,26038N,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36901,26038P,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36883,26038Q,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36880,26038R,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36904,26038S,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36364,26038T,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36359,26038U,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36882,26038V,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36874,26038W,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36879,26038X,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36867,26038Y,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36266,26038Z,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36535,26039A,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36953,26039AA,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36991,26039AB,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36936,26039AC,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36967,26039AD,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36985,26039AE,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36744,26039B,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36734,26039C,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36957,26039D,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36951,26039E,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36941,26039F,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36950,26039G,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36975,26039H,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36993,26039J,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36968,26039K,0.0545391135208814,144.71836054703667,0.0945795846222999
STARLINK-36979,26039L,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36994,26039M,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36988,26039N,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36926,26039P,0.0047591243581639,97.95714972136813,0.0289180579727469
STARLINK-36931,26039Q,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36903,26039R,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36898,26039S,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36862,26039T,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36888,26039U,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36910,26039V,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36889,26039W,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36592,26039X,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36911,26039Y,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36956,26039Z,0.0046032215012865,103.55270154573438,0.048231892255703
STARLINK-36335,26040A,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36373,26040AA,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36923,26040B,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36568,26040C,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36930,26040D,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36921,26040E,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36928,26040F,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36858,26040G,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36916,26040H,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36871,26040J,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36891,26040K,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36378,26040L,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36884,26040M,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36940,26040N,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36253,26040P,0.01251285276166695,29.426284397441364,0.01993180495107045
STARLINK-36944,26040Q,0.01251285276166695,29.426284397441364,0.01993180495107045
